label	fix
A/Bayern/69/9	A/Bayern/69/2009
X-243	A/South Africa/3626/2013
X-243/	A/South Africa/3626/2013
X-243(A/SouthAfrica/3626/2013)	A/SouthAfrica/3626/2013
IVR-159(A/Victoria/502/2010)	A/Victoria/502/2010
NIB-85/	A/Almaty/2958/2013
NIB-85(A/Almaty/2958/2013)	A/Almaty/2958/2013
NIB-87(A/Palau/6759/2014)	A/Palau/6759/2014
NIB-93(A/HongKong/7127/2014)	A/HongKong/7127/2014
NYMCX-261(A/HK/7127/2014)	A/HongKong/7127/2014
NYMCX-261(A/HongKong/7127/2014)	A/HongKong/7127/2014
NYMCX-263B(A/HK/4801/2014)	A/HongKong/4801/2014
NYMCX-263B(A/HongKong/4801/2014)	A/HongKong/4801/2014
IVR-178(A/NewCaledonia/71/2014)	A/NewCaledonia/71/2014
IVR-164(A/Brisbane/299/2011)	A/Brisbane/299/2011
