label	fix
AL	Alabama
ALA	Alabama
ASTR	Astrakhan
ASTRAK	Astrakhan
AUCK	Auckland
ALG	Algeria
BAN	Bangladesh
BANG	Bangladesh
BAY	Bayern
BRIS	Brisbane
BRIS1,	Brisbane
C'CHURCH	Christchurch
CA	California
CAL	California
CALIF	California
CAMB	Cambodia
CC	Christchurch
CCHURCH	Christchurch
CHCH	Christchurch
CIV	CoteDIvoire
DR	DominicanRepublic
EG	Egypt
ENG	England
FIN	Finland
FL	Florida
FOR	Formosa
G-M	Guangdong-Maonan
GAN-BAIY	Gansu-Baiyin
GLAS	Glasgow
H-X	HeilongjiangXiangfang
HEN-XIG	Henan-Xigong
HK	HongKong
JHB	Johannesburg
MAD	MADAGASCAR
MAL	Malaysia
MARY	MARYLAND
MASS	Massachusetts
Maur	Mauritius
NETH	Netherlands
NIB-85	A/Almaty/2958/2013
NIEDER	Niedersachsen
NJ	NewJersey
NOR	Norway
NOVO	Novosibirsk
NTHCAROL	NorthCarolina
NY	NewYork
SAFRICA	SouthAfrica
SAUSTRALIA	SouthAustralia
SHAN	SHANDONG
SLOV	Slovenia
ST P	StPetersburg
ST.P	StPetersburg
ST.P'BURG	StPetersburg
ST.PBURG	StPetersburg
STHAFR	SouthAfrica
STHAUS	SouthAustralia
STOCK	Stockholm
STP	StPetersburg
STPBURG	StPetersburg
SWITZ	Switzerland
TOAMAS	Toamasina
VALL	Valladolid
VIC	Victoria
VORO	Voronezh
Washton	Washington
WIS	Wisconsin
X-243	A/SouthAfrica/3626/2013
