label	fix

# Algeria
Eph Blida	Blida

# Argentina
Buenosaires	BuenosAires
Bahia_Blanca	BuenosAires
Mar_del_Plata	MardelPlata
Mar_de_Ajo	BuenosAires
MardeAjo	BuenosAires
MardeAj?	BuenosAires
Miramar	BuenosAires
Olavarria	BuenosAires
SanBernardo	BuenosAires
San_Bernardo	BuenosAires
SantaTeresita	BuenosAires
Santa_Teresita_	BuenosAires
Santa_Teresita	BuenosAires
SantiagodelEstero	SantiagoDelEstero
TierradelFuego	TierraDelFuego
Tucum?n	Tucuman
CiudaddeBuenosAires	BuenosAires

# Australia
Australian_Capital_Territory	AustralianCapitalTerritory
Birsbane	Brisbane
NorthernTerritories	NorthernTerritory
29c	/
NT	NorthernTerritory
SouthAustraila	SouthAustralia
SouthAustalia	SouthAustralia
SouthAustrallia	SouthAustralia
SouthAustalia	SouthAustralia
SouthAustralai	SouthAustralia
South_Australia	SouthAustralia
SouthAustrallia	SouthAustralia
New_South_Wales	NewSouthWales
North_Queensland	Queensland
Northern_Territory	NorthernTerritory
South_Queensland	Queensland
Sydey	Sydney
sydney	Sydney
Vict	Victoria
Victoira	Victoria
Victoriatoria	Victoria
Western_Australia	WesternAustralia
CairnsNorth	Cairns

# Austria
Ausria	Austria
Autria	Austria
Austia	Austria
Austriaquarantine	Austria

# Bangladesh
Chottogram	Chattogram

# Barbados
Christ_Church	ChristChurch

# Belgium
Belguim	Belgium
Brussel	Brussels

# BosniaAndHerzegovina
BosniaandHerzegovia	BosniaHerzegovina
Bosnia-Herzegovina	BosniaHerzegovina
BosniaandHerzegovina	BosniaHerzegovina
Bosnia	BosniaHerzegovina

# Brazil
Alagoa	Alagoas
Ariquemes	Rondonia
Barretos	SaoPaulo
Bangor_On_Dee	BangorOnDee
Bebedouro	SaoPaulo
Belo_Horizonte	BeloHorizonte
Borda_Da_Mata	BordaDaMata
Brazil-PR	Brazil
Bras?lia	Brasilia
Cacoal	Rondonia
Candeias_Do_Jamari	CandeiasDoJamari
CeilandiaNorte	Ceilandia
Campo_Grande	CampoGrande
Carmopolis_De_Minas	CarmopolisDeMinas
CamposdosGoytacazes	CamposDosGoytacazes
Congonhas_Do_Norte	CongonhasDoNorte
Coronel_Fabriciano	CoronelFabriciano
Diamantino	MatoGrosso
Distrito_Federal	DistritoFederal
Espirito_Santo	EspiritoSanto
EspritoSanto	EspiritoSanto
Guaira	SaoPaulo
Guajara-Mirim	Rondonia
Gurupi	Tocantins
Itapua_Do_Oeste	ItapuaDoOeste
ItapuaDoOeste	Rondonia
Joao_Pessoa	JoaoPessoa
JoaoPessoa	Goias
Jardinopolis	SaoPaulo
Lencois_Paulista	LencoisPaulista
LencoisPaulista	SaoPaulo
Luziania	Goias
MatoGrossoDuSul	MatoGrossoDoSul
Mato_Grosso_do_Sul	MatoGrossoDoSul
Mato_Grosso_Do_Sul	MatoGrossoDoSul
Minas_Gerais	MinasGerais
Nova_Brasilandia_Doeste	NovaBrasilandiaDoeste
NovaBrasilandiaDoeste	Rondonia
Nova_Mutum	NovaMutum
NovaMutum	MatoGrosso
Osasaco	Osasco
Ouro_Branco	OuroBranco
Paran?	Parana
Parana?	Parana
Pitangueiras	SaoPaulo
Porto_Nacional	Tocantines
Porto_Velho	PortoVelho
Recanto_Das_Emas	RecantoDasEmas
RecantoDasEmas	DistritoFederal
Ribeirao_Das_Neves	RibeiraoDasNeves
Ribeirao_Preto	SaoPaulo
Santa_Rosa	SantaRosa
Sao_Jose_Dos_Campos	SaoPaulo
Sao_Sebastiao	SaoPaulo
Sao_Luis_De_Montes_Belos	SaoLuisDeMontesBelos
SaoLuisDeMontesBelos	Goias
Sao_Miguel_Do_Guapore	SaoMiguelDoGuapore
SaoMiguelDoGuapore	Rondonia
Taguatinga	DistritoFederal
Porto_Feliz	SaoPaulo
Rio_de_Janeiro	RioDeJaneiro
RiodeJaniero	RioDeJaneiro
RioGdeSul	RioGrandeDoSul
RioGdoSul	RioGrandeDoSul
Rio_Grande_do_Sul	RioGrandeDoSul
Rio_Grande_do_Norte	RioGrandedoNorte
RioGrandeDuSul	RioGrandeDoSul
Santa_Catarina	SantaCatarina
SantanadeParnaiba	SantanaDeParnaiba
SaopPaulo	SaoPaulo
S?oPaulo	SaoPaulo
Sao_Paulo	SaoPaulo
Sao_Paulo_	SaoPaulo
SaoSebastiao	SaoPaulo
Espirito_Santo_Do_Pinhal	EspiritoSantoDoPinhal
EspiritoSantoDoPinhal	SaoPaulo
Miracatu	SaoPaulo
Hortolandia	SaoPaulo
Franca	SaoPaulo
StaCatarina	SantaCatarina
Sete_Lagoas	SeteLagoas
Taubat?	Taubate
MinasGerias	MinasGerais
Caldas_Novas	CaldasNovas
Anicuns	Goias
Apore	Goias
CaldasNovas	Goias
Itumbiara	Goias
Itapaci	Goias
Joviana	Goias
Posse	Goias
Uruacu	Goias
Colider	MatoGrosso
CampoNovoDoParecis	MatoGrosso
VarzeaGrande	MatoGrosso
Coxim	MatoGrossoDoSul
Jatai	MatoGrossoDoSul
Navirai	MatoGrossoDoSul
Ji-Parana	Rondonia
Varzea_Grande	VarzeaGrande
Lagoa_Da_Confusao	LagoaDaConfusao
Campo_Novo_Do_Parecis	CampoNovoDoParecis
Para_	Para
Guarai	Tocantis
LagoaDaConfusao	Tocantis

# Burkina Faso
Burkina_Faso	BurkinaFaso

# Canada
ALB	Alberta
AB	Alberta
NorthwestTerritories	NorthWestTerritories
BC	BritishColumbia
British_Columbia	BritishColumbia
Canada_SK	Saskatchewan
Canada_QC	Quebec
Canada_ON	Ontario
Canada_NWT	NorthwestTerritories
