label	fix
A/ArmenianGull/RepublicofGeorgia/4/2017	georgia
A/Guangdong/CHN/023/2016	guangdong
A/Guangdong/CHN/ST021/2016	guangdong
A/chicken/Bulgaria/Dobrich/121/2018	bulgaria
A/Chicken/Dongguan/1009	guangdong
A/Chicken/Dongguan/1022	guangdong
A/Chicken/Dongguan/1051	guangdong
A/Chicken/Dongguan/1057	guangdong
A/Chicken/Dongguan/1075	guangdong
A/Chicken/Dongguan/1091	guangdong
A/Chicken/Dongguan/1096	guangdong
A/Chicken/Dongguan/1100	guangdong
A/Chicken/Dongguan/1108	guangdong
A/Chicken/Dongguan/1124	guangdong
A/Chicken/Dongguan/1143	guangdong
A/Chicken/Dongguan/1177	guangdong
A/Chicken/Dongguan/1188	guangdong
A/Chicken/Dongguan/1230	guangdong
A/Chicken/Dongguan/1297	guangdong
A/Chicken/Dongguan/1303	guangdong
A/Chicken/Dongguan/1307	guangdong
A/Chicken/Dongguan/1312	guangdong
A/Chicken/Dongguan/1314	guangdong
A/Chicken/Dongguan/1318	guangdong
A/Chicken/Dongguan/1358	guangdong
A/Chicken/Dongguan/1374	guangdong
A/Chicken/Dongguan/1382	guangdong
A/Chicken/Dongguan/1393	guangdong
A/Chicken/Dongguan/1401	guangdong
A/Chicken/Dongguan/1421	guangdong
A/Chicken/Dongguan/1433	guangdong
A/Chicken/Dongguan/1456	guangdong
A/Chicken/Dongguan/1459	guangdong
A/Chicken/Dongguan/1494	guangdong
A/Chicken/Dongguan/1505	guangdong
A/Chicken/Dongguan/1506	guangdong
A/Chicken/Dongguan/1526	guangdong
A/Chicken/Dongguan/1527	guangdong
A/Chicken/Dongguan/1533	guangdong
A/Chicken/Dongguan/1548	guangdong
A/Chicken/Dongguan/1619	guangdong
A/Chicken/Dongguan/1666	guangdong
A/Chicken/Dongguan/1673	guangdong
A/Chicken/Dongguan/1690	guangdong
A/Chicken/Dongguan/1697	guangdong
A/Chicken/Dongguan/2912	guangdong
A/Chicken/Dongguan/3112	guangdong
