label	country	division	location		

# SIV
unitedkingdom	UnitedKingdom	UnitedKingdom	UnitedKingdom
sierraleone	SierraLeone	SierraLeone	SierraLeone
equatorialguinea	EquatorialGuinea	EquatorialGuinea	EquatorialGuinea
ethiopia	Ethiopia	Ethiopia	Ethiopia
southafrica	SouthAfrica	SouthAfrica	SouthAfrica
rwanda	Rwanda	Rwanda	Rwanda
centralafricanrepublic	CentralAfricanRepublic	CentralAfricanRepublic	CentralAfricanRepublic
nigeria	Nigeria	Nigeria	Nigeria
cameroon	Cameroon	Cameroon	Cameroon
unitedstates	Usa	Usa	Usa
coted'ivoire	CoteDIvoire	CoteDIvoire	CoteDIvoire
demrepofcongo	DemocraticRepublicOfCongo	DemocraticRepublicOfCongo	DemocraticRepublicOfCongo
gambia	Gambia	Gambia	Gambia
tanzania	Tanzania	Tanzania	Tanzania
us	Usa	Usa	Usa
gabon	Gabon	Gabon	Gabon
ci	CoteDIvoire	CoteDIvoire	CoteDIvoire
uganda	Uganda	Uganda	Uganda
cm	Cameroon	Cameroon	Cameroon
cf	CentralAfricanRepublic	CentralAfricanRepublic	CentralAfricanRepublic
cd	Congo
senegal	Senegal	Senegal	Senegal
ga	Gabon	Gabon	Gabon
kenya	Kenya	Kenya	Kenya
et	Ethiopia	Ethiopia	Ethiopia
gm	Gambia	Gambia	Gambia
gh	Ghana	Ghana	Ghana
tz	Tanzania	Tanzania	Tanzania
pt	Portugal	Portugal	Portugal
ng	Nigeria	Nigeria	Nigeria
lr	Liberia	Liberia	Liberia
fr	France	France	France
de	Germany	Germany	Germany
ke	Kenya	Kenya	Kenya
sn	Senegal	Senegal	Senegal
sl	SierraLeone	SierraLeone	SierraLeone
ug	Uganda	Uganda	Uganda
se	Sweden	Sweden	Sweden
