label	fix
Pennsylvania.USA/20.09	2009-05-14
Virginia.USA/15.09	2009-04-09
New_York.USA/26.09/3	2009-06-25
Florida.USA/19.09	2009-05-07
New_Jersey.USA/45.05	2005-11-05
temara.MOR/24.03	2003-06-11
California.USA/16.03	2003-04-16
California.USA/8.04	2004-02-19
Alabama.USA/13.14/B3	2014-03-26
Arizona.USA/11.08/2	2008-03-11
Calais.FRA/01.16/B3	2016-01-01
California.USA/05.14/B3	2014-01-29
California.USA/08.14/3/B3	2014-02-19
California.USA/16.03	2003-04-16
California.USA/16.12/D4	2012-04-15
California.USA/19.10/D9	2010-05-07
California.USA/47.13/D4	2013-11-19
California.USA/49.10/D8	2010-12-03
California.USA/8.04	2004-02-19
Florida.USA/19.09	2009-05-07
Gambia/1993	1993-XX-XX
Mvs/Toulon.FRA/08.07	2007-02-19
New_Jersey.USA/45.05	2005-11-05
New_York.USA/26.09/3	2009-06-25
Pennsylvania.USA/20.09	2009-05-14
