label	fix
Gambia/1993	gambia
Bhavnagar.IND/17.16/D8	india
Bagalkot.IND/07.09/D4	india
GrMumbai.IND/9.17/D8	india
Gondia.Ind/50.14/2/D4	india
GirSomnath.IND/00.17/D8	india
Jamnagar.IND/5.17/2/D4	india
Pune.IND/12.14/D4	india
Gondia.Ind/50.14/5/D4	india
Gr.Mumbai.IND/12.15/D4	india
Pune.IND/2.17/D8	india
Kozhikode.IND/14.10/D8	india
Jamnagar.IND/10.16/D8	india
Sindhudurg.Ind/06.12/1/D4 india
Jamnagar.IND/5.16/D8	india
Nasik.IND/7.17/D8	india
Morbi.IND/37.16/2/D8	india
kheda.IND/3.17/2/D8	india
Pune.IND/41.16/D8	india
Sindhudurg.IND/06.12/2/D4	india
DongThap.VNM/06.14/D8	vietnam
DongThap.VNM/08.14/D8	vietnam
DongThap.VNM/05.14/D8	vietnam
DongThap.VNM/07.14/D8	vietnam
DongThap.VNM/06.14/2/D8	vietnam
