label	fix
Measles_virus_strain_Edmonston_(Schwarz_vaccine)	Edmonston
Edmonston-Zagreb_vaccine	Edmonston
Edmonston_B	Edmonston
Measles_virus_strain_Edmonston	Edmonston
Measles_virus_strain_Edmonston_(AIK-C_vaccine)	Edmonston
Measles_virus_strain_Edmonston_(Moraten_vaccine)	Edmonston
Measles_virus_strain_Edmonston_(Rubeovax_vaccine)	Edmonston
Measles_virus_strain_Edmonston_(Zagreb_vaccine)	Edmonston
Moraten_vaccine	Edmonston
Rubeovox_vaccine	Edmonston
attenuated_Edmonston_Enders_(Morten)	Edmonston
Ichinose-B95a	Ichinose
Ichinose-Vero	Ichinose
Tokyo.JPN/37.99_Y_C7__MV99YC7_	Tokyo.JPN/37.99/C7
Tokyo.JPN/37.99_Y___MV99Y_	Tokyo.JPN/37.99/C7
T11wild	T11
T11Ve-23	T11
