## PARSED FIELDS:
## |0: accession|1:strain name|2:NA|3:collection date|4:host|5:country|6:genotype|7:NA
#label	fix
JN012242|MuV_IA|NA|NA|Human|USA|NA|Mumps_virus	JN012242|MuVi/Iowa.USA/06|NA|2006-XX-XX|Human|USA|G|Mumps_virus
JX287386|MuV/California.USA/50.07/1|NA|2007_12_12|Human|USA|NA|Mumps_virus	JX287386|MuVx/California.USA/50.07/1|NA|2007-12-12|Human|USA|K|Mumps_virus
JX287385|MuV/Iowa.USA/06|NA|2006|Human|USA|NA|Mumps_virus	JX287385|MuVx/Iowa.USA/06|NA|2006-XX-XX|Human|USA|G|Mumps_virus
JX287388|MuV/Mass.USA/4.10|NA|2010|Human|USA|NA|Mumps_virus	JX287388|MuVx/Mass.USA/4.10|NA|2010-01-25|Human|USA|H|Mumps_virus
JX287389|MuV/New_York.USA/01.10|NA|2010_01_04|Human|USA|NA|Mumps_virus	JX287389|MuVx/New_York.USA/01.10|NA|2010-01-04|Human|USA|G|Mumps_virus
JX287390|MuV/New_York.USA/40.09/1|NA|2009_09_21|Human|USA|NA|Mumps_virus	JX287390|MuVx/New_York.USA/40.09/1|NA|2009-09-21|Human|USA|G|Mumps_virus
JX287391|MuV/New_York.USA/40.09/4|NA|2009|Human|USA|NA|Mumps_virus	JX287391|MuVx/New_York.USA/40.09/4|NA|2009-10-04|Human|USA|G|Mumps_virus
JX287387|MuV/New_York.USA/53.09/3|NA|2009|Human|USA|NA|Mumps_virus	JX287387|MuVx/New_York.USA/53.09/3|NA|2010-01-03|Human|USA|G|Mumps_virus
AB600843|MuVi_MNG09_024|NA|2009_05_28|Human|Mongolia|NA|Mumps_virus	AB600843|MuVi/Ulaanbaatar.MNG|NA|2009-05-28|Human|Mongolia|H|Mumps_virus
KF878078|MuVi/Akita.JPN/42.93[I]|NA|1993|Human|Japan|NA|Mumps_virus	KF878078|MuVi/Akita.JPN/42.93(I)|NA|1993-10-18|Human|Japan|I|Mumps_virus
KF878077|MuVi/Bedford.GBR/0.89[H]|NA|1989|Human|United_Kingdom|NA|Mumps_virus	KF878077|MuVi/Bedford.GBR/0.89(H)|NA|1989-XX-XX|Human|United_Kingdom|H|Mumps_virus
KF878081|MuVi/Fukuoka.JPN/41.00[L]|NA|2000|Human|Japan|NA|Mumps_virus	KF878081|MuVi/Fukuoka.JPN/41.00(L)|NA|2000-10-09|Human|Japan|L|Mumps_virus
KF878076|MuVi/Ge9.DEU/0.77[D]|NA|1977|Human|United_Kingdom|NA|Mumps_virus	KF878076|MuVi/Ge9.DEU/0.77(D)|NA|1977-XX-XX|Human|Germany|D|Mumps_virus
AB823535|MuVi/Hikaru.JPN/22.97_B|NA|NA|Human|NA|NA|Mumps_virus	AB823535|MuVi/Hikaru.JPN/22.97_B|NA|1997-05-26|Human|Japan|B|Mumps_virus
KF878079|MuVi/Leeds.GBR/9.04[J]|NA|2004|Human|United_Kingdom|NA|Mumps_virus	KF878079|MuVi/Leeds.GBR/9.04(J)|NA|2004-02-23|Human|United_Kingdom|J|Mumps_virus
