label	fix
Dg1062/Korea/98	south_korea
Glouc1/UK96	gloucester
Hikaru.JPN/22.97-B	japan
Iowa.USA/06/G	iowa
London.GBR/27.14/A	london
London.GBR/3.02-Uncl	london
Bedford.GBR/0.89/H	bedford
NK-M46.JPN/0.70[B]_(Vac)	japan
Leeds.GBR/9.04/J	leeds
Springdale_730/2016/G	arkansas
Springdale_745/2016/G	arkansas
Springdale_754/2016/G	arkansas
Virginia.USA/10.12/H	virginia
New_York.USA/53.09/3	new_york
New_York.USA/40.09/4	new_york
New_York.USA/01.10	new_york
New_York.USA/40.09/1	new_york
California.USA/40.11/G	california
California.USA/50.07/1	california
Ontario.CAN/13.10/G	ontario
Ontario.CAN/50.09/3/G	ontario
Ontario.CAN/40.09/1/G	ontario
Ontario.CAN/37.09/G	ontario
Ontario.CAN/38.09/2/G	ontario
Ontario.CAN/50.09/1/G	ontario
Ontario.CAN/04.10/G	ontario
Shandong.CHN/4.05/F	shandong
Zhejiang.CHN/11.06/1	zhejiang
Zhejiang.CHN/16.08/2	zhejiang
Zhejiang.CHN/26.05	zhejiang
Zhejiang.CHN/19.10	zhejiang
Fukuoka.JPN/41.00/L	fukuoka
Mass.USA/4.10	massachusetts
Manitoba.CAN/43.16/11/G	manitoba
Manitoba.CAN/43.16/5/G	manitoba
Manitoba.CAN/44.16/15/G	manitoba
Manitoba.CAN/47.16/4/G	manitoba
NewYork/10.14/2/G	new_york
NewYork.USA.USA/51.14/G	new_york
Arkansas.USA/12.17/G	arkansas
Arkansas.USA/52.16/G	arkansas
Arkansas.USA/13.17/G	arkansas
Arkansas.USA/47.16/G	arkansas
Arkansas.USA/38.16/G	arkansas
Arkansas.USA/41.16/G	arkansas
Arkansas.USA/45.16/G	arkansas
Arkansas.USA/49.16/G	arkansas
Arkansas.USA/40.16/G	arkansas
Arkansas.USA/50.16/G	arkansas
Arkansas.USA/43.16/G	arkansas
Arkansas.USA/46.16/G	arkansas
Arkansas.USA/5.17/G	arkansas
Arkansas.USA/44.16/G	arkansas
Arkansas.USA/48.16/G	arkansas
Arkansas.USA/51.16/G	arkansas
Massachusetts.USA/10.16/G	massachusetts
Massachusetts.USA/15.16/G	massachusetts
Massachusetts.USA/11.16/G	massachusetts
Massachusetts.USA/14.16/G	massachusetts
Massachusetts.USA/12.16/G	massachusetts
Massachusetts.USA/18.16/G	massachusetts
Massachusetts.USA/26.15/G	massachusetts
Massachusetts.USA/16.16/G	massachusetts
Massachusetts.USA/43.16/G	massachusetts
Massachusetts.USA/45.16/G	massachusetts
Massachusetts.USA/17.16/G	massachusetts
Massachusetts.USA/23.16/G	massachusetts
Massachusetts.USA/19.16/G	massachusetts
Massachusetts.USA/37.16/G	massachusetts
Massachusetts.USA/30.16/G	massachusetts
Massachusetts.USA/21.16/G	massachusetts
Massachusetts.USA/44.16/G	massachusetts
Massachusetts.USA/37.15/G	massachusetts
Massachusetts.USA/33.16/G	massachusetts
Massachusetts.USA/22.16/G	massachusetts
Massachusetts.USA/46.16/G	massachusetts
Massachusetts.USA/8.16/G	massachusetts
Massachusetts.USA/27.16/G	massachusetts
Massachusetts.USA/39.16/G	massachusetts
Massachusetts.USA/42.16/G	massachusetts
