label	fix
PHE_Guadeloupe	guadeloupe
Haiti/2016/PD	haiti
Dominican_Republic/2016/PD1	dominican_republic
Haiti/1/2016	haiti
SZ_WIV01	american_samoa
CN/SZ02/2016	american_samoa
SZ01/2016/China	american_samoa
FB_GWUH_2016	guatemala
Martinique/2016/FL001Sa	martinique
PuertoRico/2016/FL016U	puerto_rico
PuertoRico/2016/FL008U	puerto_rico
GZ01	venezuela
GZ02/2016	venezuela
Z16019	venezuela
NIID123/2016	vietnam
USA/UT_1/2016	mexico
Brazil/2016/INMI1	brazil
ZJ03	american_samoa
Z16006	american_samoa
Zhejiang04	american_samoa
VE_Ganxian	venezuela
GD01	venezuela
GDZ16001	venezuela
Chiba/S36/2016	fiji
SMGC_1	american_samoa
ZJ02	american_samoa
ZKC2/2016	american_samoa
UNK/2016/MA_WGS16_029	el_salvador
THA/PLCal_ZV/2013	thailand
Dominican_Rep_Rus_7EGR_2016	dominican_republic
Dominican_Rep_Rus_8ZBR_2016	dominican_republic
Dominican_Rep_Rus_5RMN_2016	dominican_republic
Dominican_Rep_Rus_4MRG_2016	dominican_republic
Dominican_Rep_Rus_3ALT_2016	dominican_republic
Mexico_Rus_12TVR_2017	mexico
Mexico_Rus_10GNN_2016	mexico
Saint_Barthelemi_Rus_6BRN_2016	saint_barthelemy
Cuba/2017/Hu0046Sa	cuba
VIE/Bra/2016	brazil
AFMC_S	philippines
AFMC_U	philippines
Dominican_Republic/2016/ZB	dominican_republic
Henan/001/2016	guatemala
