label	fix
PRI/PRVABC59/2015	PRVABC59
PRVABC_59	PRVABC59
Ae-aegypti-FL01M	Aedes_aegypti/USA/2016/FL01M
Ae-aegypti-FL02M	Aedes_aegypti/USA/2016/FL02M
Ae-aegypti-FL03M	Aedes_aegypti/USA/2016/FL03M
Ae-aegypti-FL04M	Aedes_aegypti/USA/2016/FL04M
Ae-aegypti-FL05M	Aedes_aegypti/USA/2016/FL05M
Ae-aegypti-FL06M	Aedes_aegypti/USA/2016/FL06M
Ae-aegypti_FL08M	Aedes_aegypti/USA/2016/FL08M
FL001Sa	Martinique/2016/FL001Sa
FL008U	PuertoRico/2016/FL008U
FL010U	USA/2016/FL010U
FL016U	PuertoRico/2016/FL016U
FL021U	USA/2016/FL021U
FL022U	USA/2016/FL022U
FL030U	USA/2016/FL030U
FL032U	USA/2016/FL032U
FL036SE	USA/2016/FL036Se
FL038U	USA/2016/FL038U
FL039U	USA/2016/FL039U
Hu0015Sa	USA/2016/Hu0015SA
ZC188Se	Colombia/2016/ZC188Se
ZC192Se	Colombia/2016/ZC192Se
ZC204Se	Colombia/2016/ZC204Se
ZC207Se	Colombia/2016/ZC207Se
Aaegypti_wt/USA/2016/FL_01_MOS	Aedes_aegypti/USA/2016/FL01M
Aaegypti_wt/USA/2016/FL_02_MOS	Aedes_aegypti/USA/2016/FL02M
Aaegypti_wt/USA/2016/FL_03_MOS	Aedes_aegypti/USA/2016/FL03M
Aaegypti_wt/USA/2016/FL_04_MOS	Aedes_aegypti/USA/2016/FL04M
USA/2016/FL_010_URI	USA/2016/FL010U
USA/2016/FL_021_URI	USA/2016/FL021U
USA/2016/FL_022_URI	USA/2016/FL022U
USA/2016/FL_030_URI	USA/2016/FL030U
USA/2016/FL_032_URI	USA/2016/FL032U
USA/2016/FL_038_URI	USA/2016/FL038U
USA/2016/FL_039_URI	USA/2016/FL039U
USA/2016/FL001Sa	Martinique/2016/FL001Sa
USA/2016/FL008U	PuertoRico/2016/FL008U
USA/2016/FL016U	PuertoRico/2016/FL016U
FLUR001	USA/2016/FLUR002
FLUR002	USA/2016/FLUR002
FLUR005	USA/2016/FLUR005
FLUR006	USA/2016/FLUR006
FLUR007	USA/2016/FLUR007
FLUR008	USA/2016/FLUR008
FLUR009	USA/2016/FLUR009
FLUR011	USA/2016/FLUR011
FLUR013	USA/2016/FLUR013
FLUR014	USA/2016/FLUR014
FLUR015	USA/2016/FLUR015
FLUR022	USA/2016/FLUR022
FLUR026	USA/2016/FLUR026
FLSR036	USA/2016/FLSR036
FLWB042	USA/2016/FLWB042
FLSR043	USA/2016/FLSR043
FLWB044	USA/2016/FLWB044
FLUR057	USA/2016/FLUR057
FLUR058	USA/2016/FLUR058
FLUR063	USA/2016/FLUR063
DOM_2016_BB-0208-SER	DOM/2016/BB_0208
DOM_2016_BB-0180-SER	DOM/2016/BB_0180
DOM_2016_BB-0180-URI	DOM/2016/BB_0180
DOM_2016_BB-0076-SER	DOM/2016/BB_0076
DOM_2016_BB-0076-URI	DOM/2016/BB_0076
DOM_2016_BB-0269-SER	DOM/2016/BB_0269
DOM_2016_BB-0436-PLA	DOM/2016/BB_0436
DOM_2016_BB-0115-SER	DOM/2016/BB_0115
DOM_2016_BB-0115-URI	DOM/2016/BB_0115
DOM_2016_BB-0216-SER	DOM/2016/BB_0216
USA_2016_FL-032-URI	USA/2016/FL032U
USA_2016_FL-030-URI	USA/2016/FL030U
USA_2016_FL-010-URI	USA/2016/FL010U
USA_2016_FL-038-URI	USA/2016/FL038U
USA_2016_FL-039-URI	USA/2016/FL039U
USA_2016_FL-021-URI	USA/2016/FL021U
USA_2016_FL-01-MOS	Aedes_aegypti/USA/2016/FL01M
USA_2016_FL-06-MOS	Aedes_aegypti/USA/2016/FL06M
USA_2016_FL-02-MOS	Aedes_aegypti/USA/2016/FL02M
USA_2016_FL-08-MOS	Aedes_aegypti/USA/2016/FL08M
USA_2016_FL-04-MOS	Aedes_aegypti/USA/2016/FL04M
USA_2016_FL-03-MOS	Aedes_aegypti/USA/2016/FL03M
USA_2016_FL-05-MOS	Aedes_aegypti/USA/2016/FL05M
MEX_CIENI551P4	MEX_CIENI551
HND_2016_HU-ME38-PLA	HND/2016/HU_ME38
HND_2016_HU-ME152-SER	HND/2016/HU_ME152
HND_2016_HU-ME58-PLA	HND/2016/HU_ME58
HND_2016_HU-ME42-SER	HND/2016/HU_ME42
DOM_2016_BB-0127-SER	DOM/2016/BB_0127
BRA_2016_FC-6696-SER	BRA/2016/FC_6696
BRA_2016_FC-DQ62D2-URI	BRA_2016_FC-DQ62D2
BRA_2016_FC-DQ62D1-PLA	BRA_2016_FC-DQ62D1
BRA_2016_FC-5905-SER	BRA/2016/FC_5905
BRA_2016_FC-6864-URI	BRA/2016/FC_6864
BRA_2016_FC-DQ28D1-URI	BRA/2016/FC_DQ28D1
BRA_2016_FC-DQ47D1-PLA	BRA/2016/FC_DQ47D1
BRA_2016_FC-DQ107D1-URI	BRA/2016/FC_DQ107D1
BRA_2016_FC-DQ131D1-URI	BRA/2016/FC_DQ131D1
BRA_2016_FC-DQ42D1-URI	BRA/2016/FC_DQ42D1
BRA_2016_FC-DQ60D1-PLA	BRA_2016_FC-DQ60D1
BRA_2016_FC-DQ60D1-URI	BRA_2016_FC-DQ60D1
BRA_2016_FC-6696-SER	BRA/2016/FC_6696
BRA_2016_FC-DQ49D1-PLA	BRA/2016/FC_DQ49D1
FLR	COL/FLR/2015
HND_2016_HU-ME50-PLA	HND/2016/HU_ME50
HND_2016_HU-ME178-PLA	HND/2016/HU_ME178
HND_2016_HU-ME167-PLA	HND/2016/HU_ME167

